Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.015454,0.015454,0.006296,2.4546,1.0,0.015454
French Guiana,Unknown,Unknown,0.002374,2.4546,1.0,0.005827
French Polynesia,Unknown,Unknown,0.001029,2.4546,1.0323,0.002607
Guadeloupe,Unknown,Unknown,0.001727,2.4546,1.0,0.004239
Martinique,Unknown,Unknown,0.000957,2.4546,1.0,0.002348
Mayotte,Unknown,Unknown,0.000641,2.4546,1.0,0.001575
New Caledonia,Unknown,Unknown,0.003916,2.4546,1.0381,0.009979
Reunion,Unknown,Unknown,0.001527,2.4546,1.0,0.003748
Saint Barthelemy,Unknown,Unknown,0.003541,2.4546,1.0,0.008691
Saint Pierre and Miquelon,Unknown,Unknown,0.000173,2.4546,1.0,0.000424
St Martin,Unknown,Unknown,0.001216,2.4546,1.0,0.002984
Wallis and Futuna,Unknown,Unknown,6.5e-05,2.4546,1.0,0.000161
