Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.007806,0.007806,0.002652,2.6169,1.1248,0.007806
Baden-Wurttemberg,Unknown,Unknown,0.001573,2.6169,1.021,0.004203
Bayern,Unknown,Unknown,0.001251,2.6169,1.0473,0.003429
Berlin,Unknown,Unknown,0.002927,2.6169,1.1821,0.009053
Brandenburg,Unknown,Unknown,0.003603,2.6169,1.0,0.009429
Bremen,Unknown,Unknown,0.004493,2.6169,1.1174,0.013139
Hamburg,Unknown,Unknown,0.002308,2.6169,1.0203,0.006163
Hessen,Unknown,Unknown,0.00219,2.6169,1.2224,0.007005
Mecklenburg-Vorpommern,Unknown,Unknown,0.003942,2.6169,1.0252,0.010576
Niedersachsen,Unknown,Unknown,0.004932,2.6169,1.0755,0.013881
Nordrhein-Westfalen,Unknown,Unknown,0.003441,2.6169,1.269,0.011428
Rheinland-Pfalz,Unknown,Unknown,0.002428,2.6169,1.2893,0.00819
Saarland,Unknown,Unknown,0.002216,2.6169,1.0177,0.005903
Sachsen,Unknown,Unknown,0.002004,2.6169,1.0,0.005245
Sachsen-Anhalt,Unknown,Unknown,0.002502,2.6169,1.0361,0.006783
Schleswig-Holstein,Unknown,Unknown,0.003287,2.6169,1.0408,0.008953
Thuringen,Unknown,Unknown,0.001354,2.6169,1.1592,0.004106
