Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.008904,0.008904,0.003661,2.4323,1.0,0.008904
Abruzzo,Unknown,Unknown,0.005314,2.4323,1.0508,0.013583
Basilicata,Unknown,Unknown,0.001817,2.4323,1.2009,0.005309
Calabria,Unknown,Unknown,0.002424,2.4323,1.2131,0.007153
Campania,Unknown,Unknown,0.002805,2.4323,1.2079,0.008241
Emilia-Romagna,Unknown,Unknown,0.004838,2.4323,1.0,0.011768
Friuli Venezia Giulia,Unknown,Unknown,0.004765,2.4323,1.0,0.011589
Lazio,Unknown,Unknown,0.003576,2.4323,1.0069,0.008758
Liguria,Unknown,Unknown,0.004912,2.4323,1.0,0.011948
Lombardia,Unknown,Unknown,0.003503,2.4323,1.0,0.00852
Marche,Unknown,Unknown,0.005147,2.4323,1.0798,0.013517
Molise,Unknown,Unknown,0.00265,2.4323,1.0534,0.006791
P.A. Bolzano,Unknown,Unknown,0.001572,2.4323,1.0,0.003825
P.A. Trento,Unknown,Unknown,0.00263,2.4323,1.0,0.006397
Piemonte,Unknown,Unknown,0.003701,2.4323,1.0,0.009003
Puglia,Unknown,Unknown,0.002847,2.4323,1.2573,0.008707
Sardegna,Unknown,Unknown,0.002025,2.4323,1.0125,0.004987
Sicilia,Unknown,Unknown,0.002375,2.4323,1.1369,0.006568
Toscana,Unknown,Unknown,0.003707,2.4323,1.0198,0.009194
Umbria,Unknown,Unknown,0.003788,2.4323,1.0347,0.009533
Valle d'Aosta,Unknown,Unknown,0.002674,2.4323,1.0213,0.006642
Veneto,Unknown,Unknown,0.006095,2.4323,1.0,0.014825
