Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire country,0.023175,0.023175,0.007752,2.3675,1.2628,0.023175
Aichi,Unknown,Unknown,0.007988,2.3675,1.2416,0.023481
Akita,Unknown,Unknown,0.009269,2.3675,1.0032,0.022014
Aomori,Unknown,Unknown,0.009131,2.3675,1.2254,0.02649
Chiba,Unknown,Unknown,0.007385,2.3675,1.2942,0.022627
Ehime,Unknown,Unknown,0.009372,2.3675,1.5584,0.034578
Fukui,Unknown,Unknown,0.009277,2.3675,1.2574,0.027615
Fukuoka,Unknown,Unknown,0.007948,2.3675,1.6181,0.030447
Fukushima,Unknown,Unknown,0.010536,2.3675,1.133,0.028261
Gifu,Unknown,Unknown,0.009857,2.3675,1.2564,0.029319
Gunma,Unknown,Unknown,0.009237,2.3675,1.2058,0.026369
Hiroshima,Unknown,Unknown,0.009854,2.3675,1.2996,0.030318
Hokkaido,Unknown,Unknown,0.007518,2.3675,1.0,0.017799
Hyogo,Unknown,Unknown,0.006414,2.3675,1.4013,0.021279
Ibaraki,Unknown,Unknown,0.007906,2.3675,1.2499,0.023397
Ishikawa,Unknown,Unknown,0.008349,2.3675,1.1975,0.023668
Iwate,Unknown,Unknown,0.009143,2.3675,1.1461,0.024809
Kagawa,Unknown,Unknown,0.008018,2.3675,1.4813,0.028118
Kagoshima,Unknown,Unknown,0.004838,2.3675,1.7217,0.01972
Kanagawa,Unknown,Unknown,0.006809,2.3675,1.2323,0.019864
Kochi,Unknown,Unknown,0.007735,2.3675,1.4745,0.026999
Kumamoto,Unknown,Unknown,0.01008,2.3675,1.8056,0.043089
Kyoto,Unknown,Unknown,0.006526,2.3675,1.334,0.020611
Mie,Unknown,Unknown,0.008002,2.3675,1.326,0.02512
Miyagi,Unknown,Unknown,0.010977,2.3675,1.0959,0.028478
Miyazaki,Unknown,Unknown,0.008267,2.3675,1.7621,0.034487
Nagano,Unknown,Unknown,0.008338,2.3675,1.0124,0.019986
Nagasaki,Unknown,Unknown,0.006712,2.3675,1.5771,0.025063
Nara,Unknown,Unknown,0.007196,2.3675,1.2982,0.022114
Niigata,Unknown,Unknown,0.009629,2.3675,1.1566,0.026368
Oita,Unknown,Unknown,0.008751,2.3675,1.707,0.035365
Okayama,Unknown,Unknown,0.008498,2.3675,1.3213,0.026584
Okinawa,Unknown,Unknown,0.003228,2.3675,1.1535,0.008815
Osaka,Unknown,Unknown,0.006238,2.3675,1.3582,0.020058
Saga,Unknown,Unknown,0.011371,2.3675,1.6583,0.04464
Saitama,Unknown,Unknown,0.007449,2.3675,1.218,0.021479
Shiga,Unknown,Unknown,0.008001,2.3675,1.3247,0.025093
Shimane,Unknown,Unknown,0.010026,2.3675,1.4181,0.03366
Shizuoka,Unknown,Unknown,0.006723,2.3675,1.2988,0.020672
Tochigi,Unknown,Unknown,0.009015,2.3675,1.2063,0.025747
Tokushima,Unknown,Unknown,0.007289,2.3675,1.4643,0.025267
Tokyo,Unknown,Unknown,0.007444,2.3675,1.2197,0.021496
Tottori,Unknown,Unknown,0.012271,2.3675,1.4301,0.041545
Toyama,Unknown,Unknown,0.008834,2.3675,1.1297,0.023625
Wakayama,Unknown,Unknown,0.007718,2.3675,1.3939,0.02547
Yamagata,Unknown,Unknown,0.008887,2.3675,1.0529,0.022152
Yamaguchi,Unknown,Unknown,0.006985,2.3675,1.5351,0.025386
Yamanashi,Unknown,Unknown,0.008335,2.3675,1.1343,0.022381
