Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.003403,0.003403,0.001307,2.315,1.125,0.003403
Arkansas,0.004221,0.004221,0.001658,2.3633,1.0769,0.004221
Ashley,0.004784,0.004784,0.001323,2.315,1.5625,0.004784
Baxter,0.00676,0.00676,0.001455,2.3236,2.0,0.00676
Benton,0.002091,0.002091,0.000899,2.325,1.0,0.002091
Boone,0.002553,0.002553,0.001122,2.2749,1.0,0.002553
Bradley,0.011406,0.011406,0.002416,2.3608,2.0,0.011406
Calhoun,0.003569,0.003569,0.000771,2.315,2.0,0.003569
Carroll,0.001117,0.001117,0.000493,2.2648,1.0,0.001117
Chicot,0.005458,0.005458,0.001186,2.5103,1.8333,0.005458
Clark,0.002625,0.002625,0.000851,2.398,1.2857,0.002625
Clay,0.009864,0.009864,0.00213,2.315,2.0,0.009864
Cleburne,0.006149,0.006149,0.002167,2.4093,1.1778,0.006149
Cleveland,0.001455,0.001455,0.000628,2.315,1.0,0.001455
Columbia,0.004552,0.004552,0.001236,2.2357,1.6471,0.004552
Conway,0.003171,0.003171,0.001247,2.2376,1.1364,0.003171
Craighead,0.006358,0.006358,0.001994,2.315,1.3774,0.006358
Crawford,0.003683,0.003683,0.001107,2.315,1.4375,0.003683
Crittenden,0.005493,0.005493,0.001668,2.2926,1.4364,0.005493
Cross,0.003685,0.003685,0.001462,2.3017,1.0952,0.003685
Dallas,0.001565,0.001565,0.000713,2.1932,1.0,0.001565
Desha,0.004755,0.004755,0.00132,2.315,1.5556,0.004755
Drew,0.002152,0.002152,0.000933,2.3062,1.0,0.002152
Faulkner,0.004806,0.004806,0.001325,2.3374,1.5514,0.004806
Franklin,0.00379,0.00379,0.001637,2.315,1.0,0.00379
Fulton,0.007051,0.007051,0.001523,2.315,2.0,0.007051
Garland,0.003949,0.003949,0.001137,2.357,1.4737,0.003949
Grant,0.00234,0.00234,0.000876,2.315,1.1538,0.00234
Greene,0.003503,0.003503,0.001544,2.2682,1.0,0.003503
Hempstead,0.00485,0.00485,0.001347,2.315,1.5556,0.00485
Hot Spring,0.003224,0.003224,0.001421,2.2682,1.0,0.003224
Howard,0.016246,0.016246,0.003333,2.4373,2.0,0.016246
Independence,0.002609,0.002609,0.001163,2.2433,1.0,0.002609
Izard,0.003998,0.003998,0.001321,2.315,1.3077,0.003998
Jackson,0.014848,0.014848,0.003349,2.3374,1.8966,0.014848
Jefferson,0.001984,0.001984,0.000883,2.247,1.0,0.001984
Johnson,0.003661,0.003661,0.001618,2.2631,1.0,0.003661
Lafayette,0.001398,0.001398,0.000604,2.315,1.0,0.001398
Lawrence,0.004092,0.004092,0.001768,2.315,1.0,0.004092
Lee,0.001233,0.001233,0.000565,2.1835,1.0,0.001233
Lincoln,0.002133,0.002133,0.000921,2.315,1.0,0.002133
Little River,0.006421,0.006421,0.001387,2.315,2.0,0.006421
Logan,0.00225,0.00225,0.001025,2.1956,1.0,0.00225
Lonoke,0.002113,0.002113,0.000873,2.4203,1.0,0.002113
Madison,0.003073,0.003073,0.001327,2.315,1.0,0.003073
Marion,0.001941,0.001941,0.000839,2.315,1.0,0.001941
Miller,0.003534,0.003534,0.001133,2.2749,1.3714,0.003534
Mississippi,0.002181,0.002181,0.000959,2.2732,1.0,0.002181
Monroe,0.007287,0.007287,0.001791,2.2197,1.8333,0.007287
Montgomery,0.001718,0.001718,0.000556,2.315,1.3333,0.001718
Nevada,0.008632,0.008632,0.001939,2.3745,1.875,0.008632
Newton,0.003359,0.003359,0.00129,2.315,1.125,0.003359
Ouachita,0.003745,0.003745,0.001283,2.315,1.2609,0.003745
Perry,0.001993,0.001993,0.000861,2.315,1.0,0.001993
Phillips,0.003385,0.003385,0.001237,2.3454,1.1667,0.003385
Pike,0.00108,0.00108,0.000467,2.315,1.0,0.00108
Poinsett,0.007164,0.007164,0.002168,2.3136,1.4286,0.007164
Polk,0.00116,0.00116,0.000501,2.315,1.0,0.00116
Pope,0.007268,0.007268,0.001514,2.4003,2.0,0.007268
Prairie,0.007554,0.007554,0.002357,2.315,1.3846,0.007554
Pulaski,0.003647,0.003647,0.001278,2.3278,1.2255,0.003647
Randolph,0.002836,0.002836,0.001225,2.315,1.0,0.002836
St. Francis,0.001471,0.001471,0.00064,2.2972,1.0,0.001471
Saline,0.002572,0.002572,0.001013,2.3745,1.0696,0.002572
Scott,0.001351,0.001351,0.000584,2.315,1.0,0.001351
Searcy,0.010439,0.010439,0.002792,2.315,1.6154,0.010439
Sebastian,0.003546,0.003546,0.001299,2.3333,1.1702,0.003546
Sevier,0.008984,0.008984,0.00194,2.315,2.0,0.008984
Sharp,0.009771,0.009771,0.002064,2.3671,2.0,0.009771
Stone,0.002195,0.002195,0.00096,2.2878,1.0,0.002195
Union,0.002422,0.002422,0.000827,2.3608,1.24,0.002422
Van Buren,0.001916,0.001916,0.000846,2.2648,1.0,0.001916
Washington,0.002428,0.002428,0.001087,2.2337,1.0,0.002428
White,0.005737,0.005737,0.001892,2.4586,1.2333,0.005737
Woodruff,0.014006,0.014006,0.004114,2.315,1.4706,0.014006
Yell,0.001706,0.001706,0.000703,2.4267,1.0,0.001706
