Name,Estimated unvaccinated prevalence,Estimated vaccinated prevalence,Reported prevalence,Underreporting factor,Delay factor,Estimated prevalence
Entire state,0.007054,0.007054,0.002008,2.3992,1.4645,0.007054
Bear River,Unknown,Unknown,0.001354,2.3992,1.4911,0.004845
Central Utah,Unknown,Unknown,0.001806,2.3992,1.5155,0.006566
Southeast Utah,Unknown,Unknown,0.002461,2.3992,2.0,0.011808
Southwest Utah,Unknown,Unknown,0.001873,2.3992,1.3935,0.006261
TriCounty,Unknown,Unknown,0.001978,2.3992,1.5857,0.007525
Weber-Morgan,Unknown,Unknown,0.002695,2.3992,1.5596,0.010085
Davis,0.008355,0.008355,0.002512,2.4235,1.3723,0.008355
Salt Lake,0.007926,0.007926,0.002133,2.417,1.5376,0.007926
San Juan,0.013619,0.013619,0.004377,2.4516,1.2692,0.013619
Summit,0.006804,0.006804,0.00178,2.3769,1.6087,0.006804
Tooele,0.005373,0.005373,0.002021,2.494,1.0662,0.005373
Utah,0.00432,0.00432,0.001333,2.3608,1.3728,0.00432
Wasatch,0.004876,0.004876,0.001496,2.3467,1.3889,0.004876
